job_id,booking_id,completed_at,revenue_usd
J0090,B0120,2026-08-06T23:14:47.918710+00:00,233.00
J0091,B0123,2026-08-29T04:55:05.923394+00:00,368.00
J0092,B0124,2026-08-25T21:05:03.329795+00:00,373.00
J0093,B0125,2026-09-19T04:24:11.508227+00:00,287.00
J0094,B0126,2026-07-19T03:16:27.907964+00:00,283.00
J0095,B0128,2026-08-15T14:35:29.453989+00:00,286.00
J0096,B0129,2026-08-17T23:47:31.537955+00:00,280.00
J0097,B0130,2026-08-09T21:27:19.332910+00:00,215.00
J0098,B0131,2026-08-13T21:27:19.332910+00:00,252.00
J0099,B0132,2026-09-17T11:19:51.408548+00:00,288.00
J0100,B0133,2026-07-31T10:46:48.052192+00:00,357.00
J0101,B0135,2026-07-29T14:08:23.855990+00:00,306.00
J0102,B0137,2026-09-11T04:59:33.523054+00:00,159.00
J0103,B0140,2026-07-12T13:44:18.985565+00:00,187.00
J0104,B0141,2026-09-10T21:23:18.299341+00:00,225.00
J0105,B0142,2026-09-11T12:11:45.834866+00:00,188.00
J0106,B0143,2026-09-10T10:12:01.850427+00:00,297.00
J0107,B0144,2026-09-09T15:05:20.220916+00:00,200.00
J0108,B0146,2026-09-11T13:02:49.401050+00:00,297.00
J0109,B0147,2026-09-08T00:18:30.301419+00:00,158.00
J0110,B0148,2026-08-10T01:47:55.618294+00:00,214.00
J0111,B0149,2026-08-31T09:07:30.534380+00:00,297.00
J0112,B0150,2026-09-12T22:17:33.152720+00:00,228.00
J0113,B0153,2026-09-18T02:31:57.271444+00:00,298.00
J0114,B0155,2026-07-21T13:52:17.521442+00:00,306.00
J0115,B0157,2026-08-10T02:04:04.320020+00:00,155.00
J0116,B0159,2026-08-12T13:13:27.345335+00:00,351.00
J0117,B0162,2026-08-22T20:07:36.264664+00:00,238.00
J0118,B0163,2026-08-06T15:17:36.220176+00:00,314.00
J0119,B0164,2026-09-05T00:35:09.538024+00:00,351.00
J0120,B0165,2026-07-25T15:47:43.303554+00:00,185.00
J0121,B0166,2026-09-09T23:25:15.903195+00:00,349.00
J0122,B0168,2026-07-29T20:45:38.926932+00:00,388.00
J0123,B0169,2026-08-07T07:31:38.397013+00:00,348.00
J0124,B0170,2026-08-28T22:59:46.455558+00:00,273.00
J0125,B0172,2026-07-15T16:24:27.297961+00:00,280.00
J0126,B0173,2026-07-16T16:44:34.381923+00:00,351.00
J0127,B0174,2026-08-10T15:45:30.946989+00:00,358.00
J0128,B0175,2026-08-18T22:04:57.321001+00:00,273.00
J0129,B0176,2026-08-10T04:34:57.106353+00:00,245.00
J0130,B0178,2026-07-07T22:23:35.802525+00:00,214.00
J0131,B0179,2026-09-01T00:11:27.483095+00:00,346.00
J0132,B0181,2026-07-10T18:35:26.907934+00:00,298.00
J0133,B0182,2026-07-12T16:20:24.930049+00:00,306.00
J0134,B0184,2026-08-29T14:14:31.674854+00:00,331.00
J0135,B0185,2026-07-19T22:07:13.588061+00:00,297.00
J0136,B0186,2026-08-29T09:49:35.245305+00:00,285.00
J0137,B0187,2026-09-13T04:28:25.278013+00:00,302.00
J0138,B0188,2026-07-31T02:42:33.545171+00:00,278.00
J0139,B0189,2026-07-11T05:55:19.620479+00:00,184.00
J0140,B0191,2026-07-08T05:50:58.093600+00:00,300.00
J0141,B0192,2026-07-17T14:34:25.837114+00:00,146.00
J0142,B0193,2026-09-05T13:52:20.847968+00:00,302.00
J0143,B0194,2026-07-10T00:35:40.340079+00:00,279.00
J0144,B0195,2026-07-20T00:35:40.340079+00:00,356.00
J0145,B0196,2026-07-13T04:14:19.017793+00:00,282.00
J0146,B0197,2026-09-14T19:09:34.096520+00:00,339.00
J0147,B0198,2026-08-05T15:24:25.360994+00:00,337.00
J0148,B0200,2026-07-19T07:20:43.685481+00:00,244.00
J0149,B0201,2026-07-28T17:10:47.865884+00:00,182.00
J0150,B0202,2026-08-13T15:21:42.439492+00:00,340.00
J0151,B0203,2026-07-28T01:37:28.476362+00:00,235.00
J0152,B0204,2026-09-09T14:44:03.283338+00:00,243.00
J0153,B0206,2026-09-20T09:04:11.185816+00:00,202.00
J0154,B0209,2026-07-08T08:25:58.870422+00:00,205.00
J0155,B0210,2026-09-15T20:52:05.887719+00:00,271.00
J0156,B0211,2026-07-20T06:41:08.399711+00:00,313.00
J0157,B0212,2026-08-29T23:03:28.646617+00:00,223.00
J0158,B0213,2026-07-12T05:06:59.454621+00:00,305.00
J0159,B0214,2026-07-13T04:30:26.570933+00:00,243.00
J0160,B0215,2026-07-11T02:16:06.302446+00:00,282.00
J0161,B0216,2026-09-14T18:01:10.273227+00:00,310.00
J0162,B0217,2026-07-25T13:06:12.352687+00:00,208.00
J0163,B0218,2026-08-25T20:26:33.701373+00:00,377.00
J0164,B0219,2026-09-05T20:26:33.701373+00:00,316.00
J0165,B0220,2026-07-04T23:32:00.095054+00:00,247.00
J0166,B0221,2026-07-09T18:12:45.909869+00:00,179.00
J0167,B0224,2026-07-07T08:28:39.743436+00:00,349.00
J0168,B0226,2026-07-31T13:01:47.080784+00:00,323.00
J0169,B0228,2026-07-23T00:58:29.812942+00:00,297.00
J0170,B0230,2026-08-02T05:24:51.860832+00:00,248.00
J0171,B0231,2026-07-20T09:22:03.419885+00:00,150.00
J0172,B0232,2026-07-26T09:22:03.419885+00:00,218.00
J0173,B0233,2026-09-07T06:00:08.791113+00:00,315.00
J0174,B0234,2026-08-18T18:34:31.369686+00:00,276.00
J0175,B0235,2026-09-04T23:58:52.204988+00:00,282.00
J0176,B0237,2026-08-29T05:08:06.838791+00:00,322.00
J0177,B0238,2026-08-26T06:26:01.614840+00:00,232.00
J0178,B0239,2026-07-31T09:11:44.015404+00:00,227.00
J0179,B0240,2026-08-28T06:58:31.064549+00:00,209.00
J0180,B0241,2026-07-12T08:43:16.063867+00:00,145.00
J0181,B0242,2026-07-21T06:14:29.009567+00:00,155.00
J0182,B0243,2026-08-26T11:10:32.468402+00:00,188.00
J0183,B0244,2026-08-01T12:25:27.247656+00:00,144.00
J0184,B0246,2026-09-03T04:42:59.653348+00:00,332.00
J0185,B0247,2026-09-03T15:26:27.206740+00:00,354.00
J0186,B0248,2026-07-24T05:23:16.397223+00:00,261.00
J0187,B0249,2026-09-18T17:58:49.540747+00:00,273.00
J0188,B0251,2026-08-01T19:34:05.682888+00:00,298.00
J0189,B0252,2026-08-12T07:08:16.451346+00:00,325.00
J0190,B0253,2026-07-22T06:24:28.957275+00:00,207.00
J0191,B0254,2026-08-30T10:29:19.617561+00:00,218.00
J0192,B0255,2026-08-30T23:18:41.566074+00:00,273.00
J0193,B0256,2026-09-15T23:18:41.566074+00:00,355.00
J0194,B0257,2026-07-11T00:38:34.711962+00:00,199.00
J0195,B0259,2026-08-20T08:18:44.308150+00:00,152.00
J0196,B0260,2026-09-09T06:00:59.138253+00:00,269.00
J0197,B0261,2026-09-07T21:36:09.763747+00:00,203.00
J0198,B0262,2026-08-27T19:20:49.495276+00:00,339.00
J0199,B0264,2026-09-03T11:27:13.695036+00:00,352.00
J0200,B0265,2026-09-17T03:33:48.142750+00:00,280.00
J0201,B0267,2026-09-11T07:02:26.862726+00:00,152.00
J0202,B0268,2026-09-17T18:46:46.000243+00:00,132.00
J0203,B0269,2026-08-05T07:04:41.198501+00:00,279.00
J0204,B0270,2026-07-29T00:50:30.066173+00:00,260.00
J0205,B0273,2026-07-18T00:58:23.923806+00:00,293.00
J0206,B0274,2026-09-17T13:12:44.662485+00:00,344.00
J0207,B0275,2026-08-17T07:02:55.454688+00:00,267.00
J0208,B0276,2026-08-06T01:41:08.918637+00:00,250.00
J0209,B0277,2026-07-20T23:39:24.635584+00:00,292.00
J0210,B0278,2026-08-16T22:45:08.955826+00:00,194.00
J0211,B0279,2026-09-13T23:44:46.186031+00:00,331.00
J0212,B0281,2026-09-07T13:15:51.968986+00:00,318.00
J0213,B0282,2026-09-02T02:44:12.330016+00:00,315.00
J0214,B0284,2026-07-09T04:56:59.151418+00:00,263.00
J0215,B0285,2026-09-18T22:33:14.166964+00:00,135.00
J0216,B0287,2026-09-16T09:05:47.379281+00:00,242.00
J0217,B0288,2026-08-27T03:08:48.417610+00:00,213.00
J0218,B0289,2026-08-14T14:17:24.702533+00:00,262.00
J0219,B0290,2026-08-25T09:45:40.615474+00:00,260.00
J0220,B0291,2026-09-03T16:52:35.306860+00:00,206.00
J0221,B0292,2026-07-06T09:06:12.155308+00:00,266.00
J0222,B0293,2026-07-11T11:22:04.960299+00:00,299.00
J0223,B0295,2026-08-03T05:46:17.976428+00:00,139.00
J0224,B0297,2026-08-14T14:19:19.625003+00:00,299.00
J0225,B0298,2026-07-25T01:01:41.634043+00:00,143.00
J0226,B0301,2026-07-09T16:05:29.131862+00:00,244.00
J0227,B0302,2026-08-18T08:13:46.126044+00:00,261.00
J0228,B0304,2026-08-27T21:54:06.100586+00:00,358.00
J0229,B0305,2026-08-01T13:29:35.786585+00:00,296.00
J0230,B0306,2026-07-30T23:28:58.368549+00:00,288.00
J0231,B0307,2026-08-05T13:44:43.060028+00:00,390.00
J0232,B0308,2026-09-13T19:46:33.443154+00:00,133.00
J0233,B0309,2026-09-15T09:18:05.498794+00:00,161.00
J0234,B0311,2026-08-08T20:08:56.556695+00:00,286.00
J0235,B0312,2026-08-16T13:02:05.546441+00:00,299.00
J0236,B0313,2026-09-13T23:46:55.940538+00:00,270.00
J0237,B0314,2026-08-23T21:10:35.149914+00:00,311.00
J0238,B0316,2026-09-03T11:10:31.890721+00:00,283.00
J0239,B0319,2026-09-14T00:32:56.380664+00:00,169.00
J0240,B0320,2026-07-22T07:17:12.851262+00:00,161.00
J0241,B0321,2026-07-03T15:33:12.638366+00:00,333.00
J0242,B0322,2026-07-10T20:36:41.878394+00:00,311.00
J0243,B0323,2026-09-08T21:47:41.879309+00:00,245.00
J0244,B0324,2026-08-07T08:42:20.164141+00:00,306.00
J0245,B0325,2026-08-01T11:52:42.708530+00:00,214.00
J0246,B0326,2026-08-31T19:28:34.421347+00:00,387.00
J0247,B0328,2026-07-16T20:54:36.491415+00:00,154.00
J0248,B0329,2026-08-18T15:53:34.484438+00:00,343.00
J0249,B0330,2026-08-08T03:10:46.125703+00:00,354.00
J0250,B0331,2026-08-14T03:10:46.125703+00:00,346.00
J0251,B0332,2026-08-13T12:14:56.003726+00:00,328.00
J0252,B0334,2026-07-04T23:26:26.917332+00:00,328.00
J0253,B0335,2026-08-03T22:10:15.024826+00:00,282.00
J0254,B0336,2026-07-17T16:51:13.851591+00:00,343.00
J0255,B0338,2026-08-22T13:25:10.338006+00:00,219.00
J0256,B0339,2026-07-30T00:35:13.265920+00:00,251.00
J0257,B0340,2026-08-09T14:48:43.706718+00:00,186.00
J0258,B0341,2026-09-17T15:47:53.029300+00:00,304.00
J0259,B0342,2026-08-27T00:52:13.882129+00:00,353.00
J0260,B0344,2026-08-22T00:55:28.120280+00:00,137.00
J0261,B0345,2026-09-01T03:54:33.275305+00:00,253.00
