booking_id,inquiry_id,booked_at,scheduled_at,status
B0023,I0046,2026-08-20T18:05:37.501163+00:00,2026-09-06T18:05:37.501163+00:00,completed
B0024,I0047,2026-08-02T21:02:06.698202+00:00,2026-08-11T21:02:06.698202+00:00,cancelled
B0025,I0052,2026-08-10T14:06:55.488221+00:00,2026-08-12T14:06:55.488221+00:00,no_show
B0026,I0053,2026-07-26T01:23:25.788806+00:00,2026-07-28T01:23:25.788806+00:00,cancelled
B0027,I0054,2026-07-23T15:37:16.791593+00:00,2026-07-30T15:37:16.791593+00:00,completed
B0028,I0060,2026-08-02T18:41:30.147148+00:00,2026-08-07T18:41:30.147148+00:00,completed
B0029,I0061,2026-08-21T11:12:07.375761+00:00,2026-08-24T11:12:07.375761+00:00,completed
B0030,I0062,2026-08-15T17:42:50.574704+00:00,2026-08-19T17:42:50.574704+00:00,cancelled
B0031,I0064,2026-08-10T20:58:07.489663+00:00,2026-08-13T20:58:07.489663+00:00,completed
B0032,I0066,2026-09-01T11:14:20.920193+00:00,2026-09-09T11:14:20.920193+00:00,completed
B0033,I0069,2026-07-22T23:00:42.130150+00:00,2026-07-30T23:00:42.130150+00:00,completed
B0034,I0069,2026-07-22T23:00:42.130150+00:00,2026-08-05T23:00:42.130150+00:00,completed
B0035,I0070,2026-09-18T18:53:05.582817+00:00,2026-09-25T18:53:05.582817+00:00,scheduled
B0036,I0074,2026-08-07T07:56:12.212728+00:00,2026-08-14T07:56:12.212728+00:00,completed
B0037,I0076,2026-08-26T02:47:52.322784+00:00,2026-09-03T02:47:52.322784+00:00,completed
B0038,I0077,2026-08-03T20:18:42.964931+00:00,2026-08-10T20:18:42.964931+00:00,completed
B0039,I0078,2026-08-10T23:53:40.811852+00:00,2026-08-11T23:53:40.811852+00:00,completed
B0040,I0080,2026-08-21T04:10:49.031981+00:00,2026-08-23T04:10:49.031981+00:00,completed
B0041,I0083,2026-07-23T13:54:09.593958+00:00,2026-07-24T13:54:09.593958+00:00,completed
B0042,I0086,2026-08-10T13:05:05.482482+00:00,2026-08-19T13:05:05.482482+00:00,completed
B0043,I0089,2026-08-04T18:54:10.630078+00:00,2026-08-10T18:54:10.630078+00:00,completed
B0044,I0090,2026-09-01T14:00:32.573717+00:00,2026-09-09T14:00:32.573717+00:00,completed
B0045,I0091,2026-08-31T22:59:35.087053+00:00,2026-09-04T22:59:35.087053+00:00,completed
B0046,I0092,2026-08-02T13:28:20.480691+00:00,2026-08-10T13:28:20.480691+00:00,completed
B0047,I0092,2026-08-02T13:28:20.480691+00:00,2026-08-16T13:28:20.480691+00:00,completed
B0048,I0093,2026-07-30T03:03:24.754236+00:00,2026-08-04T03:03:24.754236+00:00,completed
B0049,I0094,2026-08-17T12:31:52.964488+00:00,2026-08-26T12:31:52.964488+00:00,completed
B0050,I0100,2026-09-09T17:31:04.570648+00:00,2026-09-16T17:31:04.570648+00:00,completed
B0051,I0101,2026-07-04T19:14:15.840533+00:00,2026-07-06T19:14:15.840533+00:00,completed
B0052,I0103,2026-07-02T17:17:17.876655+00:00,2026-07-07T17:17:17.876655+00:00,completed
B0053,I0104,2026-08-22T18:35:11.595350+00:00,2026-08-25T18:35:11.595350+00:00,completed
B0054,I0106,2026-08-11T06:38:47.679987+00:00,2026-08-12T06:38:47.679987+00:00,cancelled
B0055,I0108,2026-09-17T02:57:23.168836+00:00,2026-09-20T02:57:23.168836+00:00,completed
B0056,I0116,2026-07-11T16:19:41.313182+00:00,2026-07-20T16:19:41.313182+00:00,completed
B0057,I0117,2026-09-16T04:16:00.589083+00:00,2026-09-21T04:16:00.589083+00:00,scheduled
B0058,I0118,2026-07-25T23:48:34.197726+00:00,2026-08-03T23:48:34.197726+00:00,completed
B0059,I0119,2026-09-16T06:20:57.152743+00:00,2026-09-21T06:20:57.152743+00:00,scheduled
B0060,I0120,2026-08-22T15:22:13.388253+00:00,2026-08-31T15:22:13.388253+00:00,completed
B0061,I0122,2026-08-07T05:12:09.963472+00:00,2026-08-10T05:12:09.963472+00:00,completed
B0062,I0126,2026-09-09T13:39:06.454102+00:00,2026-09-18T13:39:06.454102+00:00,completed
B0063,I0130,2026-07-14T13:11:18.945947+00:00,2026-07-17T13:11:18.945947+00:00,completed
B0064,I0132,2026-09-17T04:02:11.295479+00:00,2026-09-22T04:02:11.295479+00:00,scheduled
B0065,I0133,2026-08-30T17:20:48.095745+00:00,2026-09-05T17:20:48.095745+00:00,no_show
B0066,I0134,2026-07-27T12:27:00.587812+00:00,2026-08-04T12:27:00.587812+00:00,completed
B0067,I0137,2026-07-05T03:27:37.391646+00:00,2026-07-11T03:27:37.391646+00:00,completed
B0068,I0138,2026-08-25T23:12:45.139217+00:00,2026-08-26T23:12:45.139217+00:00,completed
B0069,I0138,2026-08-25T23:12:45.139217+00:00,2026-09-05T23:12:45.139217+00:00,completed
B0070,I0139,2026-07-12T08:02:40.255031+00:00,2026-07-18T08:02:40.255031+00:00,completed
B0071,I0141,2026-07-26T22:57:49.023887+00:00,2026-07-30T22:57:49.023887+00:00,cancelled
B0072,I0142,2026-09-04T02:45:50.907754+00:00,2026-09-05T02:45:50.907754+00:00,completed
B0073,I0148,2026-08-05T15:04:40.807608+00:00,2026-08-08T15:04:40.807608+00:00,cancelled
B0074,I0149,2026-08-29T09:21:41.688049+00:00,2026-09-02T09:21:41.688049+00:00,completed
B0075,I0152,2026-07-07T22:51:16.374689+00:00,2026-07-10T22:51:16.374689+00:00,completed
B0076,I0154,2026-07-29T01:15:17.764078+00:00,2026-08-03T01:15:17.764078+00:00,completed
B0077,I0155,2026-08-28T13:07:20.871749+00:00,2026-08-31T13:07:20.871749+00:00,completed
B0078,I0157,2026-08-16T09:26:00.389270+00:00,2026-08-25T09:26:00.389270+00:00,completed
B0079,I0158,2026-07-04T00:51:04.947009+00:00,2026-07-12T00:51:04.947009+00:00,completed
B0080,I0159,2026-07-29T02:14:09.290833+00:00,2026-08-05T02:14:09.290833+00:00,no_show
B0081,I0162,2026-07-20T00:57:16.947188+00:00,2026-07-26T00:57:16.947188+00:00,completed
B0082,I0163,2026-07-23T12:02:05.080835+00:00,2026-07-30T12:02:05.080835+00:00,completed
B0083,I0166,2026-09-20T20:01:49.928888+00:00,2026-09-28T20:01:49.928888+00:00,scheduled
B0084,I0167,2026-07-10T07:33:56.348042+00:00,2026-07-19T07:33:56.348042+00:00,no_show
B0085,I0171,2026-08-29T16:03:32.534196+00:00,2026-09-05T16:03:32.534196+00:00,completed
B0086,I0176,2026-08-30T22:34:37.539305+00:00,2026-08-31T22:34:37.539305+00:00,completed
B0087,I0178,2026-08-13T21:30:49.106836+00:00,2026-08-19T21:30:49.106836+00:00,completed
B0088,I0180,2026-07-28T15:00:23.947014+00:00,2026-08-03T15:00:23.947014+00:00,completed
B0089,I0181,2026-08-10T15:27:21.096248+00:00,2026-08-19T15:27:21.096248+00:00,completed
B0090,I0182,2026-07-27T12:10:40.463503+00:00,2026-08-05T12:10:40.463503+00:00,completed
B0091,I0183,2026-08-01T10:26:08.776725+00:00,2026-08-04T10:26:08.776725+00:00,completed
B0092,I0185,2026-08-10T02:26:37.723927+00:00,2026-08-16T02:26:37.723927+00:00,completed
B0093,I0186,2026-08-12T03:52:48.309486+00:00,2026-08-20T03:52:48.309486+00:00,completed
B0094,I0187,2026-08-03T07:06:33.929415+00:00,2026-08-10T07:06:33.929415+00:00,completed
B0095,I0188,2026-09-09T14:12:35.018109+00:00,2026-09-17T14:12:35.018109+00:00,completed
B0096,I0194,2026-09-19T23:55:33.657708+00:00,2026-09-26T23:55:33.657708+00:00,scheduled
B0097,I0196,2026-07-11T17:17:44.623419+00:00,2026-07-20T17:17:44.623419+00:00,completed
B0098,I0197,2026-07-28T17:23:52.809259+00:00,2026-07-31T17:23:52.809259+00:00,completed
B0099,I0198,2026-09-10T13:02:20.873489+00:00,2026-09-13T13:02:20.873489+00:00,completed
B0100,I0199,2026-07-15T13:33:01.870723+00:00,2026-07-22T13:33:01.870723+00:00,completed
B0101,I0200,2026-07-21T16:07:02.308431+00:00,2026-07-26T16:07:02.308431+00:00,no_show
B0102,I0202,2026-08-10T10:37:52.649706+00:00,2026-08-13T10:37:52.649706+00:00,cancelled
B0103,I0204,2026-09-15T09:56:35.050285+00:00,2026-09-18T09:56:35.050285+00:00,cancelled
B0104,I0206,2026-08-06T15:54:48.327096+00:00,2026-08-12T15:54:48.327096+00:00,cancelled
B0105,I0207,2026-09-14T13:06:13.881335+00:00,2026-09-17T13:06:13.881335+00:00,completed
B0106,I0207,2026-09-14T13:06:13.881335+00:00,2026-10-02T13:06:13.881335+00:00,scheduled
B0107,I0209,2026-08-25T00:42:09.687972+00:00,2026-09-02T00:42:09.687972+00:00,completed
B0108,I0210,2026-09-19T14:06:57.105292+00:00,2026-09-26T14:06:57.105292+00:00,scheduled
B0109,I0213,2026-07-01T16:42:34.128685+00:00,2026-07-07T16:42:34.128685+00:00,completed
B0110,I0214,2026-07-21T03:19:27.794904+00:00,2026-07-27T03:19:27.794904+00:00,completed
B0111,I0216,2026-09-12T06:41:16.167414+00:00,2026-09-16T06:41:16.167414+00:00,cancelled
B0112,I0218,2026-07-03T02:47:37.055967+00:00,2026-07-08T02:47:37.055967+00:00,completed
B0113,I0220,2026-07-16T18:00:39.784776+00:00,2026-07-23T18:00:39.784776+00:00,completed
B0114,I0224,2026-07-24T19:58:05.355487+00:00,2026-07-27T19:58:05.355487+00:00,no_show
B0115,I0228,2026-08-21T01:40:06.563591+00:00,2026-08-24T01:40:06.563591+00:00,completed
B0116,I0230,2026-07-19T21:27:49.918602+00:00,2026-07-21T21:27:49.918602+00:00,completed
B0117,I0230,2026-07-19T21:27:49.918602+00:00,2026-08-06T21:27:49.918602+00:00,no_show
B0118,I0231,2026-09-11T08:26:19.628196+00:00,2026-09-16T08:26:19.628196+00:00,cancelled
B0119,I0232,2026-09-02T04:30:16.391947+00:00,2026-09-06T04:30:16.391947+00:00,completed
B0120,I0236,2026-07-28T21:14:47.918710+00:00,2026-08-06T21:14:47.918710+00:00,completed
B0121,I0238,2026-08-16T09:46:18.218920+00:00,2026-08-25T09:46:18.218920+00:00,cancelled
B0122,I0239,2026-09-15T10:13:43.541704+00:00,2026-09-24T10:13:43.541704+00:00,scheduled
B0123,I0241,2026-08-24T02:55:05.923394+00:00,2026-08-29T02:55:05.923394+00:00,completed
B0124,I0242,2026-08-20T19:05:03.329795+00:00,2026-08-25T19:05:03.329795+00:00,completed
B0125,I0243,2026-09-11T02:24:11.508227+00:00,2026-09-19T02:24:11.508227+00:00,completed
B0126,I0244,2026-07-13T01:16:27.907964+00:00,2026-07-19T01:16:27.907964+00:00,completed
B0127,I0245,2026-07-28T19:49:25.632749+00:00,2026-08-04T19:49:25.632749+00:00,cancelled
B0128,I0248,2026-08-14T12:35:29.453989+00:00,2026-08-15T12:35:29.453989+00:00,completed
B0129,I0250,2026-08-08T21:47:31.537955+00:00,2026-08-17T21:47:31.537955+00:00,completed
B0130,I0253,2026-08-02T19:27:19.332910+00:00,2026-08-09T19:27:19.332910+00:00,completed
B0131,I0253,2026-08-02T19:27:19.332910+00:00,2026-08-13T19:27:19.332910+00:00,completed
B0132,I0254,2026-09-11T09:19:51.408548+00:00,2026-09-17T09:19:51.408548+00:00,completed
B0133,I0258,2026-07-24T08:46:48.052192+00:00,2026-07-31T08:46:48.052192+00:00,completed
B0134,I0262,2026-08-17T21:57:28.369511+00:00,2026-08-25T21:57:28.369511+00:00,cancelled
B0135,I0267,2026-07-26T12:08:23.855990+00:00,2026-07-29T12:08:23.855990+00:00,completed
B0136,I0268,2026-09-03T23:40:41.126309+00:00,2026-09-08T23:40:41.126309+00:00,cancelled
B0137,I0269,2026-09-02T02:59:33.523054+00:00,2026-09-11T02:59:33.523054+00:00,completed
B0138,I0272,2026-09-18T14:17:24.867009+00:00,2026-09-19T14:17:24.867009+00:00,cancelled
B0139,I0277,2026-08-20T07:39:37.751270+00:00,2026-08-23T07:39:37.751270+00:00,cancelled
B0140,I0281,2026-07-07T11:44:18.985565+00:00,2026-07-12T11:44:18.985565+00:00,completed
B0141,I0282,2026-09-06T19:23:18.299341+00:00,2026-09-10T19:23:18.299341+00:00,completed
B0142,I0284,2026-09-08T10:11:45.834866+00:00,2026-09-11T10:11:45.834866+00:00,completed
B0143,I0285,2026-09-06T08:12:01.850427+00:00,2026-09-10T08:12:01.850427+00:00,completed
B0144,I0286,2026-09-07T13:05:20.220916+00:00,2026-09-09T13:05:20.220916+00:00,completed
B0145,I0291,2026-09-05T23:28:22.811758+00:00,2026-09-07T23:28:22.811758+00:00,no_show
B0146,I0293,2026-09-04T11:02:49.401050+00:00,2026-09-11T11:02:49.401050+00:00,completed
B0147,I0294,2026-08-29T22:18:30.301419+00:00,2026-09-07T22:18:30.301419+00:00,completed
B0148,I0296,2026-08-07T23:47:55.618294+00:00,2026-08-09T23:47:55.618294+00:00,completed
B0149,I0298,2026-08-23T07:07:30.534380+00:00,2026-08-31T07:07:30.534380+00:00,completed
B0150,I0299,2026-09-06T20:17:33.152720+00:00,2026-09-12T20:17:33.152720+00:00,completed
B0151,I0299,2026-09-06T20:17:33.152720+00:00,2026-09-22T20:17:33.152720+00:00,scheduled
B0152,I0300,2026-09-18T05:46:54.515866+00:00,2026-09-21T05:46:54.515866+00:00,scheduled
B0153,I0302,2026-09-10T00:31:57.271444+00:00,2026-09-18T00:31:57.271444+00:00,completed
B0154,I0304,2026-08-06T16:34:04.560625+00:00,2026-08-14T16:34:04.560625+00:00,cancelled
B0155,I0307,2026-07-19T11:52:17.521442+00:00,2026-07-21T11:52:17.521442+00:00,completed
B0156,I0309,2026-08-19T04:45:21.464843+00:00,2026-08-28T04:45:21.464843+00:00,cancelled
B0157,I0311,2026-08-03T00:04:04.320020+00:00,2026-08-10T00:04:04.320020+00:00,completed
B0158,I0314,2026-07-15T07:22:51.633988+00:00,2026-07-24T07:22:51.633988+00:00,no_show
B0159,I0316,2026-08-06T11:13:27.345335+00:00,2026-08-12T11:13:27.345335+00:00,completed
B0160,I0318,2026-08-16T18:51:02.360262+00:00,2026-08-25T18:51:02.360262+00:00,cancelled
B0161,I0320,2026-07-13T21:15:38.609699+00:00,2026-07-19T21:15:38.609699+00:00,no_show
B0162,I0326,2026-08-21T18:07:36.264664+00:00,2026-08-22T18:07:36.264664+00:00,completed
B0163,I0329,2026-08-04T13:17:36.220176+00:00,2026-08-06T13:17:36.220176+00:00,completed
B0164,I0333,2026-08-28T22:35:09.538024+00:00,2026-09-04T22:35:09.538024+00:00,completed
B0165,I0339,2026-07-22T13:47:43.303554+00:00,2026-07-25T13:47:43.303554+00:00,completed
B0166,I0341,2026-09-02T21:25:15.903195+00:00,2026-09-09T21:25:15.903195+00:00,completed
B0167,I0346,2026-08-02T08:38:39.629613+00:00,2026-08-03T08:38:39.629613+00:00,no_show
B0168,I0349,2026-07-22T18:45:38.926932+00:00,2026-07-29T18:45:38.926932+00:00,completed
B0169,I0351,2026-08-01T05:31:38.397013+00:00,2026-08-07T05:31:38.397013+00:00,completed
B0170,I0354,2026-08-19T20:59:46.455558+00:00,2026-08-28T20:59:46.455558+00:00,completed
B0171,I0357,2026-08-15T16:44:00.378305+00:00,2026-08-16T16:44:00.378305+00:00,cancelled
B0172,I0358,2026-07-11T14:24:27.297961+00:00,2026-07-15T14:24:27.297961+00:00,completed
B0173,I0363,2026-07-08T14:44:34.381923+00:00,2026-07-16T14:44:34.381923+00:00,completed
B0174,I0367,2026-08-02T13:45:30.946989+00:00,2026-08-10T13:45:30.946989+00:00,completed
B0175,I0369,2026-08-09T20:04:57.321001+00:00,2026-08-18T20:04:57.321001+00:00,completed
B0176,I0370,2026-08-06T02:34:57.106353+00:00,2026-08-10T02:34:57.106353+00:00,completed
B0177,I0372,2026-08-15T02:04:03.245021+00:00,2026-08-24T02:04:03.245021+00:00,cancelled
B0178,I0373,2026-07-03T20:23:35.802525+00:00,2026-07-07T20:23:35.802525+00:00,completed
B0179,I0376,2026-08-25T22:11:27.483095+00:00,2026-08-31T22:11:27.483095+00:00,completed
B0180,I0382,2026-08-26T17:23:41.126415+00:00,2026-09-03T17:23:41.126415+00:00,no_show
B0181,I0387,2026-07-03T16:35:26.907934+00:00,2026-07-10T16:35:26.907934+00:00,completed
B0182,I0389,2026-07-07T14:20:24.930049+00:00,2026-07-12T14:20:24.930049+00:00,completed
B0183,I0391,2026-08-12T12:14:31.674854+00:00,2026-08-14T12:14:31.674854+00:00,no_show
B0184,I0391,2026-08-12T12:14:31.674854+00:00,2026-08-29T12:14:31.674854+00:00,completed
B0185,I0394,2026-07-11T20:07:13.588061+00:00,2026-07-19T20:07:13.588061+00:00,completed
B0186,I0395,2026-08-26T07:49:35.245305+00:00,2026-08-29T07:49:35.245305+00:00,completed
B0187,I0396,2026-09-04T02:28:25.278013+00:00,2026-09-13T02:28:25.278013+00:00,completed
B0188,I0401,2026-07-29T00:42:33.545171+00:00,2026-07-31T00:42:33.545171+00:00,completed
B0189,I0402,2026-07-02T03:55:19.620479+00:00,2026-07-11T03:55:19.620479+00:00,completed
B0190,I0403,2026-09-02T03:27:35.605481+00:00,2026-09-11T03:27:35.605481+00:00,cancelled
B0191,I0406,2026-07-05T03:50:58.093600+00:00,2026-07-08T03:50:58.093600+00:00,completed
B0192,I0407,2026-07-12T12:34:25.837114+00:00,2026-07-17T12:34:25.837114+00:00,completed
B0193,I0410,2026-09-02T11:52:20.847968+00:00,2026-09-05T11:52:20.847968+00:00,completed
B0194,I0414,2026-07-03T22:35:40.340079+00:00,2026-07-09T22:35:40.340079+00:00,completed
B0195,I0414,2026-07-03T22:35:40.340079+00:00,2026-07-19T22:35:40.340079+00:00,completed
B0196,I0416,2026-07-07T02:14:19.017793+00:00,2026-07-13T02:14:19.017793+00:00,completed
B0197,I0418,2026-09-07T17:09:34.096520+00:00,2026-09-14T17:09:34.096520+00:00,completed
B0198,I0419,2026-07-31T13:24:25.360994+00:00,2026-08-05T13:24:25.360994+00:00,completed
B0199,I0420,2026-07-22T10:23:21.724619+00:00,2026-07-26T10:23:21.724619+00:00,cancelled
B0200,I0423,2026-07-13T05:20:43.685481+00:00,2026-07-19T05:20:43.685481+00:00,completed
B0201,I0424,2026-07-20T15:10:47.865884+00:00,2026-07-28T15:10:47.865884+00:00,completed
B0202,I0428,2026-08-05T13:21:42.439492+00:00,2026-08-13T13:21:42.439492+00:00,completed
B0203,I0429,2026-07-23T23:37:28.476362+00:00,2026-07-27T23:37:28.476362+00:00,completed
B0204,I0434,2026-09-04T12:44:03.283338+00:00,2026-09-09T12:44:03.283338+00:00,completed
B0205,I0436,2026-09-18T04:05:08.068125+00:00,2026-09-27T04:05:08.068125+00:00,scheduled
B0206,I0437,2026-09-12T07:04:11.185816+00:00,2026-09-20T07:04:11.185816+00:00,completed
B0207,I0437,2026-09-12T07:04:11.185816+00:00,2026-10-01T07:04:11.185816+00:00,scheduled
B0208,I0439,2026-09-11T17:11:25.479665+00:00,2026-09-15T17:11:25.479665+00:00,no_show
B0209,I0441,2026-07-05T06:25:58.870422+00:00,2026-07-08T06:25:58.870422+00:00,completed
B0210,I0444,2026-09-11T18:52:05.887719+00:00,2026-09-15T18:52:05.887719+00:00,completed
B0211,I0447,2026-07-13T04:41:08.399711+00:00,2026-07-20T04:41:08.399711+00:00,completed
B0212,I0450,2026-08-24T21:03:28.646617+00:00,2026-08-29T21:03:28.646617+00:00,completed
B0213,I0452,2026-07-04T03:06:59.454621+00:00,2026-07-12T03:06:59.454621+00:00,completed
B0214,I0453,2026-07-07T02:30:26.570933+00:00,2026-07-13T02:30:26.570933+00:00,completed
B0215,I0455,2026-07-05T00:16:06.302446+00:00,2026-07-11T00:16:06.302446+00:00,completed
B0216,I0456,2026-09-13T16:01:10.273227+00:00,2026-09-14T16:01:10.273227+00:00,completed
B0217,I0457,2026-07-23T11:06:12.352687+00:00,2026-07-25T11:06:12.352687+00:00,completed
B0218,I0460,2026-08-18T18:26:33.701373+00:00,2026-08-25T18:26:33.701373+00:00,completed
B0219,I0460,2026-08-18T18:26:33.701373+00:00,2026-09-05T18:26:33.701373+00:00,completed
B0220,I0461,2026-06-30T21:32:00.095054+00:00,2026-07-04T21:32:00.095054+00:00,completed
B0221,I0462,2026-07-07T16:12:45.909869+00:00,2026-07-09T16:12:45.909869+00:00,completed
B0222,I0463,2026-07-16T22:57:54.774424+00:00,2026-07-20T22:57:54.774424+00:00,cancelled
B0223,I0469,2026-08-30T21:12:10.761493+00:00,2026-09-03T21:12:10.761493+00:00,cancelled
B0224,I0472,2026-07-06T06:28:39.743436+00:00,2026-07-07T06:28:39.743436+00:00,completed
B0225,I0473,2026-08-22T06:48:14.087892+00:00,2026-08-24T06:48:14.087892+00:00,cancelled
B0226,I0475,2026-07-24T11:01:47.080784+00:00,2026-07-31T11:01:47.080784+00:00,completed
B0227,I0476,2026-09-17T11:42:34.790569+00:00,2026-09-23T11:42:34.790569+00:00,scheduled
B0228,I0478,2026-07-20T22:58:29.812942+00:00,2026-07-22T22:58:29.812942+00:00,completed
B0229,I0481,2026-09-03T03:17:34.971249+00:00,2026-09-07T03:17:34.971249+00:00,cancelled
B0230,I0482,2026-07-24T03:24:51.860832+00:00,2026-08-02T03:24:51.860832+00:00,completed
B0231,I0483,2026-07-11T07:22:03.419885+00:00,2026-07-20T07:22:03.419885+00:00,completed
B0232,I0483,2026-07-11T07:22:03.419885+00:00,2026-07-26T07:22:03.419885+00:00,completed
B0233,I0488,2026-09-02T04:00:08.791113+00:00,2026-09-07T04:00:08.791113+00:00,completed
B0234,I0491,2026-08-13T16:34:31.369686+00:00,2026-08-18T16:34:31.369686+00:00,completed
B0235,I0496,2026-08-26T21:58:52.204988+00:00,2026-09-04T21:58:52.204988+00:00,completed
B0236,I0499,2026-07-27T17:45:40.871463+00:00,2026-07-28T17:45:40.871463+00:00,cancelled
B0237,I0500,2026-08-22T03:08:06.838791+00:00,2026-08-29T03:08:06.838791+00:00,completed
B0238,I0502,2026-08-20T04:26:01.614840+00:00,2026-08-26T04:26:01.614840+00:00,completed
B0239,I0503,2026-07-28T07:11:44.015404+00:00,2026-07-31T07:11:44.015404+00:00,completed
B0240,I0512,2026-08-23T04:58:31.064549+00:00,2026-08-28T04:58:31.064549+00:00,completed
B0241,I0513,2026-07-05T06:43:16.063867+00:00,2026-07-12T06:43:16.063867+00:00,completed
B0242,I0516,2026-07-13T04:14:29.009567+00:00,2026-07-21T04:14:29.009567+00:00,completed
B0243,I0520,2026-08-21T09:10:32.468402+00:00,2026-08-26T09:10:32.468402+00:00,completed
B0244,I0521,2026-07-26T10:25:27.247656+00:00,2026-08-01T10:25:27.247656+00:00,completed
B0245,I0526,2026-07-09T20:00:07.026273+00:00,2026-07-17T20:00:07.026273+00:00,cancelled
B0246,I0527,2026-08-31T02:42:59.653348+00:00,2026-09-03T02:42:59.653348+00:00,completed
B0247,I0530,2026-08-30T13:26:27.206740+00:00,2026-09-03T13:26:27.206740+00:00,completed
B0248,I0533,2026-07-15T03:23:16.397223+00:00,2026-07-24T03:23:16.397223+00:00,completed
B0249,I0534,2026-09-12T15:58:49.540747+00:00,2026-09-18T15:58:49.540747+00:00,completed
B0250,I0537,2026-09-19T23:58:29.285620+00:00,2026-09-23T23:58:29.285620+00:00,scheduled
B0251,I0538,2026-07-30T17:34:05.682888+00:00,2026-08-01T17:34:05.682888+00:00,completed
B0252,I0544,2026-08-11T05:08:16.451346+00:00,2026-08-12T05:08:16.451346+00:00,completed
B0253,I0546,2026-07-15T04:24:28.957275+00:00,2026-07-22T04:24:28.957275+00:00,completed
B0254,I0550,2026-08-27T08:29:19.617561+00:00,2026-08-30T08:29:19.617561+00:00,completed
B0255,I0552,2026-08-29T21:18:41.566074+00:00,2026-08-30T21:18:41.566074+00:00,completed
B0256,I0552,2026-08-29T21:18:41.566074+00:00,2026-09-15T21:18:41.566074+00:00,completed
B0257,I0553,2026-07-05T22:38:34.711962+00:00,2026-07-10T22:38:34.711962+00:00,completed
B0258,I0556,2026-09-10T22:43:53.557891+00:00,2026-09-16T22:43:53.557891+00:00,no_show
B0259,I0559,2026-08-18T06:18:44.308150+00:00,2026-08-20T06:18:44.308150+00:00,completed
B0260,I0560,2026-09-04T04:00:59.138253+00:00,2026-09-09T04:00:59.138253+00:00,completed
B0261,I0561,2026-09-02T19:36:09.763747+00:00,2026-09-07T19:36:09.763747+00:00,completed
B0262,I0562,2026-08-18T17:20:49.495276+00:00,2026-08-27T17:20:49.495276+00:00,completed
B0263,I0563,2026-08-17T15:38:00.150934+00:00,2026-08-21T15:38:00.150934+00:00,no_show
B0264,I0564,2026-08-26T09:27:13.695036+00:00,2026-09-03T09:27:13.695036+00:00,completed
B0265,I0567,2026-09-13T01:33:48.142750+00:00,2026-09-17T01:33:48.142750+00:00,completed
B0266,I0568,2026-07-09T07:25:37.750812+00:00,2026-07-13T07:25:37.750812+00:00,cancelled
B0267,I0570,2026-09-09T05:02:26.862726+00:00,2026-09-11T05:02:26.862726+00:00,completed
B0268,I0571,2026-09-10T16:46:46.000243+00:00,2026-09-17T16:46:46.000243+00:00,completed
B0269,I0572,2026-08-04T05:04:41.198501+00:00,2026-08-05T05:04:41.198501+00:00,completed
B0270,I0574,2026-07-24T22:50:30.066173+00:00,2026-07-28T22:50:30.066173+00:00,completed
B0271,I0575,2026-09-10T12:58:03.125631+00:00,2026-09-16T12:58:03.125631+00:00,no_show
